名字,导演,主演,年份,时长,国家,类型,评分,评论人数,五星,四星,三星,二星,一星
第九道门,罗曼·波兰斯基,约翰尼·德普,1999,133,法国 / 西班牙 / 美国,剧情 / 悬疑 / 惊悚 / 恐怖 / 奇幻,7.2,29084,13.2,40.3,40.0,5.8,0.8
极限挑战 第一季,任静 / 严敏,黄渤,,,中国大陆,真人秀,9.0,35373,60.0,30.7,7.5,0.9,1.0
恋恋书中人,乔纳森·戴顿 / 维莱莉·法瑞斯,保罗·达诺,2012,104,美国,喜剧 / 爱情 / 奇幻,7.5,31451,16.4,47.1,32.8,3.3,0.5
舌尖上的中国 第二季,陈晓卿,李立宏,,,中国大陆,纪录片,8.4,36519,46.0,33.4,15.7,3.2,1.7
王朝的女人·杨贵妃,十庆,范冰冰,2015,122,中国大陆,爱情 / 古装,3.6,34253,2.2,3.6,16.6,29.0,48.7
奇幻精灵事件簿,马克·沃特斯,弗莱迪·海默,2008,96,美国,家庭 / 奇幻 / 冒险,7.2,29942,11.5,40.4,43.9,3.8,0.4
白银帝国,姚树华,郭富城,2009,116,中国大陆 / 台湾 / 香港,剧情 / 爱情 / 家庭 / 传记 / 历史 / 古装,6.3,29401,4.5,23.9,55.6,13.7,2.3
孤岛惊魂,钟继昌,陈小春,2011,100,中国大陆,悬疑 / 惊悚 / 恐怖,3.2,31977,1.4,1.5,11.0,27.3,58.8
滚滚红尘,严浩,林青霞,1990,94,香港 / 中国大陆,爱情 / 战争,8.2,28705,31.1,49.3,18.1,1.3,0.2
如月疑云,佐藤祐市,小栗旬,2007,108,日本,喜剧 / 悬疑,8.1,33853,27.9,49.7,20.0,1.9,0.5
超脑48小时,阿里尔·弗罗门,凯文·科斯特纳,2016,113,英国 / 美国,剧情 / 动作 / 悬疑 / 惊悚 / 犯罪,6.4,33638,6.4,25.3,53.7,12.6,2.0
鸣梁海战,金韩民,崔岷植,2014,109,韩国,剧情 / 动作 / 传记 / 战争,7.0,33239,12.5,38.4,39.9,7.0,2.2
都是天使惹的祸,梦继,李小璐,,,中国大陆,剧情 / 爱情,6.9,27832,11.1,32.0,50.0,6.0,0.9
宅,Neil Coslett,,2003,3,英国,动画 / 短片,8.3,30170,33.5,47.7,17.5,1.2,0.2
年轻的维多利亚,让-马克·瓦雷,艾米莉·布朗特,2009,105,英国 / 美国,剧情 / 爱情 / 传记 / 历史,7.3,31312,11.7,44.3,41.2,2.6,0.2
数码宝贝,角銅博之,藤田淑子,,,日本,动作 / 动画 / 惊悚 / 家庭 / 奇幻 / 冒险,8.9,31193,59.4,26.5,12.5,1.4,0.3
意外的幸运签,原惠一,富泽风斗,2010,127,日本,剧情 / 动画 / 奇幻,8.2,30915,32.4,47.6,18.2,1.5,0.3
杀死一只知更鸟,罗伯特·马利根,格利高里·派克,1962,129,美国,剧情 / 悬疑 / 犯罪,8.5,30025,40.6,45.7,12.8,0.8,0.2
大奥,金子文纪,二宫和也,2010,116,日本,剧情 / 同性,7.1,30688,11.8,38.4,43.2,5.9,0.7
美国恐怖故事：女巫集会 第三季,阿方索·戈麦斯-雷洪 / 迈克尔·瑞迈尔 / 迈克尔·乌彭达尔 / 杰雷米·波德斯瓦 / 布拉德利·比克尔 / 霍华德·达奇,杰西卡·兰格,,,美国,剧情 / 悬疑 / 恐怖,7.9,35655,30.8,38.0,25.4,4.8,0.9
那年夏天，宁静的海,北野武,真木藏人,1991,101,日本,爱情,8.2,27614,33.4,47.2,17.6,1.5,0.3
名侦探柯南：纯黑的恶梦,静野孔文,高山南,2016,112,日本,动画 / 悬疑,6.2,34087,7.3,22.1,48.4,17.7,4.5
汉尼拔 第一季,大卫·斯雷德 / 迈克尔·瑞迈尔 / 彼得·梅达克 / 吉列尔莫·纳瓦罗 / 詹姆斯·弗雷 / 蒂姆·亨特 / 约翰·达尔,休·丹西,,,美国,悬疑 / 惊悚 / 犯罪,8.1,37224,33.8,42.9,19.9,2.7,0.7
女性瘾者：第二部,拉斯·冯·提尔,夏洛特·甘斯布,2013,123,丹麦 / 德国 / 比利时 / 英国 / 法国 / 瑞典,剧情 / 情色,7.7,31329,23.6,43.9,27.5,4.0,0.9
南方公园,崔·帕克,崔·帕克,1999,81,美国,喜剧 / 动画 / 歌舞,8.5,28096,46.1,35.6,15.4,2.2,0.7
信号,帕特里克·休斯,尼克·拉塞尔,2008,12,澳大利亚,爱情 / 短片,8.6,31118,44.8,41.9,12.5,0.7,0.1
冬天的骨头,黛布拉·格兰尼克,詹妮弗·劳伦斯,2010,100,美国,剧情,7.3,29840,12.3,45.0,38.0,4.2,0.6
上帝保佑美国,博卡·格德斯维特,乔尔·默里,2011,105,美国,喜剧 / 犯罪,7.8,32100,26.6,42.9,24.9,4.3,1.2
谜城,林岭东,古天乐,2015,105,中国大陆 / 香港,动作 / 惊悚 / 犯罪,5.5,32506,2.9,11.3,49.4,29.6,6.8
冲上云霄,潘嘉德,吴镇宇,,,香港,剧情,8.2,29895,32.4,46.2,19.9,1.3,0.2
交响情人梦 最终乐章 后篇,武内英樹 / 川村泰祐,上野树里,2010,123,日本,剧情,8.7,29791,51.8,34.7,12.3,1.0,0.2
猫屎一号,笹原和也,土田大,2010,22,日本,动画 / 短片 / 战争,8.2,30770,33.8,46.1,18.2,1.6,0.4
极速蜗牛,大卫·索伦,瑞安·雷诺兹,2013,96,美国,喜剧 / 动画 / 冒险,7.1,32196,11.9,39.7,42.8,4.9,0.6
弗里达,朱丽·泰莫,萨尔玛·海耶克,2002,123,美国 / 墨西哥 / 加拿大,剧情 / 爱情 / 传记,8.7,28860,46.6,41.6,10.9,0.7,0.2
高三,周浩,,2005,95,中国大陆,纪录片,8.4,27428,37.7,44.8,15.8,1.3,0.4
偷听女人心,南希·迈耶斯,梅尔·吉布森,2000,127,美国,喜剧 / 爱情 / 奇幻,7.0,27279,7.6,38.4,49.9,3.7,0.5
内布拉斯加,亚历山大·佩恩,布鲁斯·邓恩,2013,115,美国,剧情 / 喜剧 / 家庭,8.6,32685,41.7,47.2,10.3,0.7,0.2
希特勒回来了,大卫·韦恩特,奥利弗·马苏奇,2015,116,德国,喜剧,7.7,33019,22.7,45.7,27.2,3.7,0.7
盲证,安相勋,金荷娜,2011,111,韩国,剧情 / 悬疑 / 犯罪,7.4,31781,13.7,47.8,34.7,3.2,0.6
李献计历险记,郭帆 / 李阳,房祖名,2011,90,中国大陆,爱情 / 奇幻 / 冒险,6.4,30201,9.0,27.3,43.8,15.1,4.8
那年冬天，风在吹,金奎泰,赵寅成,,,韩国,剧情 / 爱情,7.5,34704,24.0,36.5,33.1,5.3,1.2
