名字,导演,主演,年份,时长,国家,类型,评分,评论人数,五星,四星,三星,二星,一星
第五元素,吕克·贝松,布鲁斯·威利斯,1997,126,法国,动作 / 科幻 / 冒险,7.9,129189,24.6,47.7,25.0,2.3,0.4
饥饿游戏2：星火燎原,弗朗西斯·劳伦斯,詹妮弗·劳伦斯,2013,146,美国,动作 / 科幻 / 冒险,7.3,143927,14.1,42.8,36.2,5.5,1.4
雷神2：黑暗世界,阿兰·泰勒,克里斯·海姆斯沃斯,2013,112,美国,动作 / 奇幻 / 冒险,7.3,145339,14.8,42.9,37.3,4.2,0.7
老无所依,伊桑·科恩 / 乔尔·科恩,汤米·李·琼斯,2007,122,美国,剧情 / 惊悚 / 犯罪,8.0,131191,29.9,46.2,21.0,2.3,0.6
卡萨布兰卡,迈克尔·柯蒂斯,亨弗莱·鲍嘉,1942,102,美国,剧情 / 爱情 / 战争,8.6,125888,44.6,41.6,12.9,0.8,0.1
月球,邓肯·琼斯,山姆·洛克威尔,2009,97,英国,剧情 / 科幻 / 悬疑,8.5,143855,39.3,46.9,12.7,0.9,0.2
爱情与灵药,爱德华·兹威克,安妮·海瑟薇,2010,113,美国,剧情 / 喜剧 / 爱情,7.0,131319,10.2,37.6,46.6,5.1,0.5
华尔街之狼,马丁·斯科塞斯,莱昂纳多·迪卡普里奥,2013,180,美国,剧情 / 喜剧 / 传记 / 犯罪,7.6,149565,20.4,46.7,28.5,3.6,0.8
狼图腾,让-雅克·阿诺,冯绍峰,2015,121,中国大陆 / 法国,剧情 / 冒险,6.9,148683,10.8,36.6,42.5,8.0,2.1
师父,徐浩峰,廖凡,2015,109,中国大陆,剧情 / 动作 / 武侠,8.1,150897,29.6,48.7,18.3,2.4,1.0
武林外传,尚敬,闫妮,2011,92,中国大陆,喜剧 / 动作 / 古装,6.4,135443,7.8,25.3,49.0,14.7,3.3
角斗士,雷德利·斯科特,罗素·克劳,2000,155,英国 / 美国,剧情 / 动作 / 历史 / 冒险,8.4,126014,37.9,46.0,15.1,0.8,0.1
怪物史瑞克,安德鲁·亚当森 / 维基·詹森,麦克·梅尔斯,2001,90,美国,喜剧 / 动画 / 家庭 / 奇幻 / 冒险,7.8,120086,21.2,51.8,25.6,1.3,0.2
全民超人汉考克,彼得·博格,威尔·史密斯,2008,92,美国,动作 / 犯罪 / 奇幻,6.7,126180,7.3,32.3,51.5,7.8,1.1
罗生门,黑泽明,三船敏郎,1950,88,日本,剧情 / 悬疑 / 犯罪,8.7,127479,48.9,39.2,10.8,0.9,0.3
小时代2：青木时代,郭敬明,杨幂,2013,116,中国大陆 / 台湾,剧情 / 喜剧 / 爱情,4.9,141753,5.1,10.4,33.9,25.0,25.6
越狱 第一季,Brett Ratner,温特沃斯·米勒,,,美国,剧情 / 动作 / 惊悚 / 犯罪,9.2,127802,68.4,25.4,5.6,0.4,0.1
X战警2,布莱恩·辛格,帕特里克·斯图尔特,2003,133,美国 / 加拿大,动作 / 科幻 / 惊悚,7.6,129102,14.6,51.4,32.1,1.7,0.2
蝙蝠侠大战超人：正义黎明,扎克·施奈德,本·阿弗莱克,2016,151,美国,动作 / 科幻 / 奇幻 / 冒险,6.6,151088,12.5,27.4,42.9,13.5,3.8
乌云背后的幸福线,大卫·O·拉塞尔,布莱德利·库珀,2012,122,美国,剧情 / 喜剧 / 爱情 / 家庭,7.7,140620,20.8,48.3,28.2,2.4,0.4
第36个故事,萧雅全,桂纶镁,2010,82,台湾,剧情 / 喜剧,7.7,127059,21.7,44.3,29.6,3.9,0.6
赤壁(上),吴宇森,梁朝伟,2008,150,中国大陆 / 香港 / 台湾 / 日本 / 韩国,剧情 / 动作 / 历史 / 战争 / 冒险,6.3,122902,4.9,25.1,52.6,13.8,3.6
寒战2,梁乐民 / 陆剑青,郭富城,2016,110,中国大陆 / 香港,剧情 / 动作 / 犯罪,6.9,147403,9.9,37.0,44.2,7.4,1.4
一次别离,阿斯哈·法哈蒂,佩曼·莫阿迪,2012,123,伊朗 / 法国,剧情 / 家庭,8.7,134671,47.8,41.0,10.2,0.8,0.2
荒野生存,西恩·潘,埃米尔·赫斯基,2007,148,美国,剧情 / 传记 / 冒险,8.6,128660,48.6,36.1,12.8,1.9,0.7
致命伴旅,弗洛里安·亨克尔·冯·多纳斯马尔克,约翰尼·德普,2011,105,美国 / 法国 / 意大利,剧情 / 悬疑 / 惊悚,6.6,128371,7.9,28.8,49.8,11.8,1.7
小王子,马克·奥斯本,杰夫·布里吉斯,2015,108,法国,动画 / 奇幻,8.0,145437,33.0,41.0,21.6,3.2,1.1
黄金大劫案,宁浩,雷佳音,2012,108,中国大陆,剧情 / 喜剧 / 动作 / 爱情 / 历史 / 战争,6.8,136630,10.7,33.3,42.9,10.6,2.5
心慌方,文森佐·纳塔利,妮可·德波儿,1997,90,加拿大,科幻 / 悬疑 / 惊悚,7.9,133319,26.2,48.2,22.6,2.5,0.6
蒂凡尼的早餐,布莱克·爱德华兹,奥黛丽·赫本,1961,115,美国,剧情 / 喜剧 / 爱情,8.1,124561,29.3,47.0,21.6,1.8,0.3
花木兰,巴里·库克 / 托尼·班克罗夫特,温明娜,1998,88,美国,剧情 / 动画 / 家庭 / 冒险,7.6,119159,17.8,46.2,33.5,2.3,0.3
夜·店,杨庆,徐峥,2009,94,中国,喜剧,6.6,127120,7.7,31.0,48.2,10.8,2.3
天使之城,布拉德·塞伯宁,尼古拉斯·凯奇,1998,114,美国 / 德国,剧情 / 爱情 / 奇幻,7.9,118145,25.6,47.5,24.4,2.2,0.3
巴黎，我爱你,奥利维耶·阿萨亚斯 / 伊桑·科恩 / 乔尔·科恩 / 格斯·范·桑特 / 汤姆·提克威 / 沃尔特·塞勒斯 / 亚历山大·佩恩 / 杜可风 / 热拉尔·德帕迪约 / 阿方索·卡隆 / 诹访敦彦 / 西维亚·乔迈 / 韦斯·克雷文 / 伊莎贝尔·科赛特 / 顾伦德·查达哈 / 文森佐·纳塔利,朱丽叶·比诺什,2006,120,法国 / 德国 / 列支敦士登 / 瑞士,剧情 / 喜剧 / 爱情,8.3,120659,36.0,45.8,16.8,1.2,0.2
摆渡人,张嘉佳,梁朝伟,2016,128,中国大陆 / 香港,喜剧 / 爱情,4.1,152959,4.1,7.0,20.5,24.3,44.1
遗愿清单,罗伯·莱纳,杰克·尼科尔森,2007,97,美国,剧情 / 喜剧 / 冒险,8.5,128552,39.8,45.9,13.3,0.8,0.1
毕业生,迈克·尼科尔斯,安妮·班克罗夫特,1967,106,美国,剧情 / 喜剧 / 爱情,7.9,116928,24.8,48.9,24.0,2.0,0.4
嫌疑人X的献身,苏有朋,王凯,2017,112,中国大陆,悬疑 / 犯罪,6.4,151731,5.1,25.9,54.0,12.8,2.2
闪灵,斯坦利·库布里克,杰克·尼科尔森,1980,119,英国 / 美国,剧情 / 悬疑 / 恐怖,8.0,129008,30.7,43.1,21.8,3.3,1.1
雷神,肯尼思·布拉纳,克里斯·海姆斯沃斯,2011,115,美国,动作 / 奇幻 / 冒险,6.7,133753,7.5,29.4,52.7,9.2,1.3
小岛惊魂,亚历杭德罗·阿梅纳瓦尔,妮可·基德曼,2001,104,美国 / 西班牙 / 法国 / 意大利,剧情 / 悬疑 / 恐怖,8.0,129895,26.0,51.4,20.9,1.5,0.3
少年时代,理查德·林克莱特,埃拉·科尔特兰,2014,165,美国,剧情 / 家庭,8.5,138687,42.3,41.3,14.6,1.5,0.4
女朋友○男朋友,杨雅喆,桂纶镁,2012,106,台湾,剧情 / 爱情 / 同性,7.5,127340,16.3,46.4,32.9,3.8,0.7
人民的名义,李路,陆毅,,,中国大陆,剧情 / 悬疑 / 犯罪,8.3,184741,38.8,42.1,15.0,2.2,1.9
飓风营救,皮埃尔·莫瑞尔,连姆·尼森,2008,93,法国 / 美国 / 英国,剧情 / 动作 / 惊悚 / 犯罪,8.2,131630,29.9,52.1,16.9,1.0,0.1
荒蛮故事,达米安·斯兹弗隆,达里奥·格兰迪内蒂,2014,122,阿根廷 / 西班牙,剧情 / 喜剧 / 犯罪,8.8,142481,48.1,42.3,8.7,0.6,0.2
雨果,马丁·斯科塞斯,阿萨·巴特菲尔德,2012,127,美国,剧情 / 儿童 / 传记 / 奇幻,7.6,132295,18.9,46.6,30.5,3.5,0.5
红辣椒,今敏,林原惠美,2006,90,日本,科幻 / 动画 / 悬疑 / 惊悚,8.9,139924,55.0,35.3,8.8,0.8,0.2
冒牌天神,汤姆·沙迪亚克,金·凯瑞,2003,101,美国,剧情 / 喜剧 / 奇幻,7.5,123229,13.5,48.6,35.4,2.3,0.3
大魔术师,尔冬升,梁朝伟,2012,128,中国大陆 / 香港,剧情 / 喜剧 / 爱情 / 奇幻,6.6,130523,7.1,31.7,46.5,12.0,2.8
蓝宇,关锦鹏,胡军,2001,86,中国大陆 / 香港,剧情 / 爱情 / 同性,8.0,121639,27.5,47.2,23.1,1.9,0.3
生化危机,保罗·安德森,米拉·乔沃维奇,2002,100,英国 / 德国 / 法国 / 美国,动作 / 科幻 / 恐怖,7.8,122360,22.1,49.5,25.8,2.2,0.4
集结号,冯小刚,张涵予,2007,124,中国大陆 / 香港,剧情 / 传记 / 历史 / 战争,7.9,121582,23.0,50.3,24.1,2.1,0.5
八月迷情,科斯汀·谢里丹,乔纳森·莱斯·梅耶斯,2009,114,美国,剧情 / 爱情 / 音乐,8.3,123066,38.9,40.4,17.8,2.3,0.5
星球大战7：原力觉醒,J·J·艾布拉姆斯,黛西·雷德利,2016,135,美国,动作 / 科幻 / 冒险,7.1,141195,13.8,37.7,40.0,6.6,1.9
马达加斯加,埃里克·达尼尔 / 汤姆·麦格拉思,本·斯蒂勒,2005,86,美国,喜剧 / 动画 / 家庭 / 冒险,7.7,118416,19.9,49.8,28.1,2.0,0.2
X战警3：背水一战,布莱特·拉特纳,休·杰克曼,2006,104,美国 / 加拿大 / 英国,动作 / 科幻 / 惊悚,7.5,123853,15.0,47.6,34.2,2.8,0.4
非常主播,姜炯哲,车太贤,2009,108,韩国,剧情 / 喜剧 / 音乐,7.9,127213,23.0,51.3,24.0,1.5,0.2
潘神的迷宫,吉尔莫·德尔·托罗,伊万娜·巴克罗,2006,118,西班牙 / 墨西哥 / 美国,剧情 / 悬疑 / 战争 / 奇幻,7.8,126844,24.0,45.6,26.3,3.4,0.7
浪潮,丹尼斯·甘塞尔,于尔根·福格尔,2008,107,德国,剧情 / 惊悚,8.7,134866,47.2,42.3,9.7,0.7,0.2
十二猴子,特瑞·吉列姆,布鲁斯·威利斯,1995,129,美国,科幻 / 悬疑 / 惊悚,8.1,125543,28.1,49.6,19.9,2.0,0.4
小黄人大眼萌,凯尔·巴尔达 / 皮埃尔·柯芬,桑德拉·布洛克,2015,91,美国,喜剧 / 动画,7.3,136873,17.1,38.3,37.8,5.9,1.0
杀死比尔2,昆汀·塔伦蒂诺,乌玛·瑟曼,2004,137,美国,动作 / 惊悚 / 犯罪,7.8,123052,24.6,46.1,25.8,2.9,0.6
蜘蛛侠2,山姆·雷米,托比·马奎尔,2004,135,美国,动作 / 科幻 / 冒险,7.2,115941,11.4,39.9,45.0,3.4,0.4
卢旺达饭店,特瑞·乔治,唐·钱德尔,2004,121,英国 / 南非 / 意大利 / 美国,剧情 / 历史 / 战争,8.8,122989,51.3,40.2,8.0,0.4,0.1
导盲犬小Q,崔洋一,小林薰,2004,100,日本,剧情,8.4,114817,37.9,45.7,15.3,0.9,0.2
驯龙高手2,迪恩·德布洛斯,杰伊·巴鲁切尔,2014,102,美国,喜剧 / 动画 / 家庭 / 奇幻 / 冒险,7.9,136054,24.4,47.6,25.5,2.1,0.4
狩猎,托马斯·温特伯格,麦斯·米科尔森,2012,115,丹麦 / 瑞典,剧情,9.0,135908,59.7,33.3,6.3,0.5,0.3
来自星星的你,张太维,金秀贤,,,韩国,爱情,8.3,148844,42.7,36.2,17.2,2.1,1.7
101次求婚,陈正道,黄渤,2013,104,中国大陆 / 台湾 / 日本,爱情,5.6,129642,3.4,13.8,50.6,25.2,6.9
萨利机长,克林特·伊斯特伍德,汤姆·汉克斯,2016,96,美国,剧情 / 传记 / 灾难,8.3,142944,30.7,54.2,14.4,0.6,0.1
开心家族,金永卓,车太贤,2011,111,韩国,剧情 / 喜剧 / 家庭,8.5,130568,43.1,40.9,14.2,1.5,0.4
汉江怪物,奉俊昊,宋康昊,2006,120,韩国,剧情 / 科幻 / 惊悚 / 灾难,7.3,95522,14.3,42.5,37.0,5.2,1.1
最爱,顾长卫,章子怡,2011,101,中国大陆 / 香港,剧情 / 爱情,7.3,119869,12.1,45.5,36.8,4.6,0.9
小森林 夏秋篇,森淳一,桥本爱,2014,111,日本,剧情,8.9,135711,55.8,35.2,8.2,0.6,0.2
四月物语,岩井俊二,松隆子,1998,67,日本,爱情,8.1,113557,30.7,46.4,21.1,1.6,0.3
超凡蜘蛛侠2,马克·韦布,安德鲁·加菲尔德,2014,142,美国,动作 / 科幻 / 冒险,7.3,133289,14.5,41.4,37.4,5.5,1.1
嫌疑人X的献身,西谷弘,福山雅治,2008,128,日本,剧情 / 悬疑 / 犯罪,8.3,133315,33.2,50.3,15.4,1.0,0.2
小时代3：刺金时代,郭敬明,杨幂,2014,126,中国大陆 / 台湾,剧情 / 喜剧 / 爱情,4.3,133639,4.5,6.6,25.2,26.9,36.8
百变星君,叶伟民,周星驰,1995,92,香港,喜剧 / 科幻 / 奇幻,7.3,113105,15.0,39.1,40.9,4.4,0.5
惊天魔盗团2,朱浩伟,杰西·艾森伯格,2016,130,美国,动作 / 冒险,6.5,137244,8.6,27.4,47.9,13.4,2.7
盲探,杜琪峰,刘德华,2013,129,中国大陆 / 香港,喜剧 / 爱情 / 悬疑 / 惊悚 / 犯罪,7.1,133516,10.3,43.0,38.5,6.6,1.7
老友记 第一季,大卫·克拉尼 / 玛尔塔·考夫曼,詹妮弗·安妮斯顿,,,美国,喜剧 / 爱情,9.6,127767,83.4,13.8,2.5,0.2,0.1
黑衣人2,巴里·索南菲尔德,威尔·史密斯,2002,88,美国,喜剧 / 动作 / 科幻,7.5,118538,15.1,47.7,34.0,2.8,0.3
通缉令,提莫·贝克曼贝托夫,詹姆斯·麦卡沃伊,2008,110,美国 / 德国,动作 / 惊悚 / 犯罪,7.4,122213,15.0,44.4,35.0,4.8,0.8
敢死队,西尔维斯特·史泰龙,西尔维斯特·史泰龙,2010,103,美国,动作 / 惊悚 / 冒险,6.7,122340,8.5,30.3,50.0,9.5,1.8
手机,冯小刚,张国立,2003,107,中国大陆,剧情 / 喜剧 / 家庭,7.3,109245,11.3,46.9,38.3,3.1,0.4
刺客聂隐娘,侯孝贤,舒淇,2015,107,台湾 / 中国大陆 / 香港,剧情 / 武侠 / 古装,7.2,131482,22.3,35.8,27.7,8.7,5.5
暗战,杜琪峰,刘德华,1999,93,香港,剧情 / 动作 / 犯罪,8.4,116714,36.1,48.4,14.6,0.8,0.1
十二公民,徐昂,何冰,2015,106,中国大陆,剧情,8.2,137065,34.4,46.3,16.4,2.1,0.8
大腕,冯小刚,葛优,2001,100,中国大陆 / 香港,喜剧,7.7,113630,20.8,48.2,27.9,2.7,0.4
生化危机：终章,保罗·安德森,米拉·乔沃维奇,2017,106,美国,动作 / 科幻 / 恐怖,6.5,140126,8.6,27.7,48.3,12.7,2.6
太阳照常升起,姜文,房祖名,2007,116,中国大陆,剧情,8.0,111650,30.8,42.8,22.1,3.4,0.9
满城尽带黄金甲,张艺谋,周润发,2006,114,中国大陆 / 香港,剧情 / 动作 / 爱情 / 古装,5.2,114171,2.6,9.7,44.5,32.5,10.8
女人不坏,徐克,周迅,2008,116,中国大陆 / 香港,喜剧,6.0,111419,4.3,19.9,51.2,19.5,5.1
偷心,迈克·尼科尔斯,朱莉娅·罗伯茨,2004,98,美国 / 英国,剧情 / 爱情,7.8,115426,24.0,45.7,27.4,2.6,0.4
空中监狱,西蒙·韦斯特,尼古拉斯·凯奇,1997,115,美国,动作 / 惊悚 / 犯罪,8.1,114372,27.0,52.5,19.3,1.1,0.2
环形使者,莱恩·约翰逊,约瑟夫·高登-莱维特,2012,110,美国 / 中国大陆,动作 / 科幻 / 惊悚,6.8,127516,7.1,36.5,48.5,7.0,0.9
无极,陈凯歌,张东健,2005,121,中国大陆 / 香港 / 日本 / 韩国,剧情 / 动作 / 奇幻,4.9,115057,6.2,10.8,29.5,30.7,22.9
蓝莓之夜,王家卫,诺拉·琼斯,2007,95,中国大陆 / 香港 / 法国,剧情 / 爱情,7.6,112241,20.3,44.2,31.4,3.7,0.5
猫的报恩,森田宏幸,池胁千鹤,2002,75,日本,喜剧 / 动画 / 奇幻 / 冒险,7.9,114432,25.7,46.9,25.4,1.8,0.2
异形：契约,雷德利·斯科特,迈克尔·法斯宾德,2017,122,美国,科幻 / 恐怖,7.3,138241,13.6,45.3,35.1,4.8,1.2
壁花少年,斯蒂芬·卓博斯基,罗根·勒曼,2012,102,美国,剧情,7.9,125127,25.9,47.1,24.7,2.1,0.3
调音师,奥利维耶·特雷内,格雷戈瓦·勒普兰斯-林盖,2010,14,法国,剧情 / 悬疑 / 惊悚 / 短片,9.2,125137,63.3,31.6,4.8,0.2,0.1
分手合约,吴基焕,白百何,2013,103,中国大陆 / 韩国,爱情,5.7,124406,4.9,15.6,46.2,25.1,8.2
赵氏孤儿,陈凯歌,葛优,2010,123,中国大陆,剧情 / 动作 / 历史 / 武侠 / 古装,5.9,120036,2.6,16.9,55.7,20.3,4.5
碧海蓝天,吕克·贝松,让-马克·巴尔,1988,132,法国 / 美国 / 意大利,剧情 / 爱情,8.7,108857,50.2,36.8,11.7,1.1,0.3
后宫·甄嬛传,郑晓龙,孙俪,,,中国大陆,剧情 / 古装,8.9,134744,57.7,33.0,7.6,0.7,0.9
时间规划局,安德鲁·尼科尔,阿曼达·塞弗里德,2011,109,美国,动作 / 科幻,6.8,121738,9.9,33.9,45.9,8.9,1.3
生活大爆炸 第二季,查克·罗瑞 / 比尔·布拉迪,吉姆·帕森斯,,,美国,喜剧,9.4,128639,73.9,23.1,2.8,0.1,0.0
燕尾蝶,岩井俊二,恰拉,1996,148,日本,剧情 / 犯罪,8.6,108444,47.9,37.8,12.8,1.2,0.3
我的机器人女友,郭在容,绫濑遥,2009,115,日本,喜剧 / 动作 / 爱情 / 科幻,7.4,114743,17.0,41.7,35.9,4.7,0.7
狄仁杰之神都龙王,徐克,赵又廷,2013,133,中国大陆 / 香港,动作 / 悬疑 / 犯罪 / 古装,6.5,128300,6.8,30.0,48.2,12.2,2.8
战狼,吴京,吴京,2015,90,中国大陆,动作 / 战争,6.8,132795,14.0,31.9,38.9,10.5,4.7
魔发奇缘,内森·格雷诺 / 拜伦·霍华德,曼迪·摩尔,2010,100,美国,喜剧 / 爱情 / 动画 / 歌舞 / 奇幻 / 冒险,8.1,119559,30.0,48.4,20.5,1.1,0.1
瘦身男女,杜琪峰 / 韦家辉,刘德华,2001,94,香港,喜剧 / 爱情,6.7,101513,8.0,29.7,54.3,7.1,0.8
特洛伊,沃尔夫冈·彼德森,布拉德·皮特,2004,163,美国 / 马耳他 / 英国,动作 / 爱情,7.4,91060,15.5,42.6,37.0,4.3,0.6
我可能不会爱你,瞿友宁,林依晨,,,台湾,爱情,8.9,133775,57.2,32.9,8.8,0.8,0.3
道士下山,陈凯歌,王宝强,2015,123,中国大陆 / 美国,喜剧 / 动作 / 奇幻 / 冒险 / 武侠 / 古装,5.4,129328,4.7,14.2,39.2,28.3,13.6
僵尸世界大战,马克·福斯特,布拉德·皮特,2013,116,美国,动作 / 科幻 / 恐怖,7.3,126112,13.0,43.9,37.8,4.5,0.7
孤胆特工,李桢凡,元斌,2011,119,韩国,剧情 / 动作 / 惊悚 / 犯罪,8.1,120508,29.4,47.7,20.5,1.9,0.4
狙击电话亭,乔·舒马赫,科林·法瑞尔,2002,81,美国,悬疑 / 惊悚,7.8,118536,22.0,51.5,23.7,2.2,0.5
撒娇女人最好命,彭浩翔,周迅,2014,95,中国大陆 / 香港,喜剧 / 爱情,5.7,123981,3.9,17.2,48.6,22.7,7.6
偷拐抢骗,盖·里奇,布拉德·皮特,2000,104,英国 / 美国,喜剧 / 犯罪,8.5,116155,40.1,46.3,12.6,0.9,0.2
无问西东,李芳芳,章子怡,2018,138,中国大陆,剧情 / 爱情 / 战争,7.6,201692,26.4,38.7,25.7,6.8,2.4
暮光之城3：月食,大卫·斯雷德,克里斯汀·斯图尔特,2010,124,美国,剧情 / 爱情 / 惊悚 / 奇幻,6.4,108782,9.2,23.5,49.6,14.2,3.5
破产姐妹 第一季,詹姆斯·伯罗斯,凯特·戴琳斯,,,美国,喜剧,8.9,131346,56.1,35.2,8.0,0.6,0.2
胜者即是正义,石川淳一 / 城宝秀则,堺雅人,,,日本,剧情 / 喜剧 / 犯罪,9.3,140979,70.0,25.5,4.1,0.3,0.1
虎口脱险,热拉尔·乌里,路易·德·菲耐斯,1966,132,法国 / 英国,喜剧 / 战争,8.9,109675,56.8,32.9,9.2,0.8,0.2
马达加斯加3,康拉德·弗农 / 埃里克·达尼尔 / 汤姆·麦格拉思,本·斯蒂勒,2012,93,美国,喜剧 / 动画 / 冒险,8.2,118636,31.8,47.9,18.8,1.3,0.2
纳尼亚传奇1：狮子、女巫和魔衣橱,安德鲁·亚当森,乔芝·韩莉,2005,143,英国 / 美国,剧情 / 奇幻 / 冒险,7.2,107793,13.9,39.0,40.5,5.7,1.0
缝纫机乐队,大鹏,大鹏,2017,117,中国大陆,喜剧 / 音乐,6.7,138142,12.4,31.2,41.0,11.6,3.8
保持通话,陈木胜,古天乐,2008,110,香港 / 中国大陆,动作,6.7,108452,6.4,32.3,50.5,9.2,1.7
木乃伊,斯蒂芬·索莫斯,布兰登·费舍,1999,125,美国,动作 / 奇幻 / 冒险,7.7,107350,18.6,51.7,27.6,1.8,0.3
卡罗尔,托德·海因斯,凯特·布兰切特,2015,118,英国 / 美国,剧情 / 爱情 / 同性,8.2,131860,33.8,45.0,19.3,1.7,0.3
武林外传,尚敬,闫妮,,,中国大陆,喜剧 / 武侠 / 古装,9.3,126193,73.5,20.5,5.1,0.6,0.3
金蝉脱壳,米凯尔·哈弗斯特罗姆,西尔维斯特·史泰龙,2013,116,美国,动作 / 惊悚,7.6,124314,16.4,49.6,31.2,2.5,0.3
超人：钢铁之躯,扎克·施奈德,亨利·卡维尔,2013,143,美国 / 英国,动作 / 科幻 / 冒险,6.8,125498,11.0,33.1,44.9,9.0,2.0
歌剧魅影,乔·舒马赫,杰拉德·巴特勒,2004,143,英国 / 美国,剧情 / 爱情 / 惊悚 / 音乐,8.5,107748,41.3,41.9,15.2,1.3,0.3
非常嫌疑犯,布莱恩·辛格,史蒂芬·鲍德温,1995,106,德国 / 美国,剧情 / 悬疑 / 惊悚 / 犯罪,8.6,117165,43.5,43.3,12.0,0.9,0.2
加菲猫,彼得·休伊特,比尔·默瑞,2004,80,美国,喜剧 / 家庭,7.6,104848,19.0,46.7,31.1,2.8,0.4
变形金刚5：最后的骑士,迈克尔·贝,马克·沃尔伯格,2017,155,美国,动作 / 科幻,4.9,135273,3.2,8.4,35.7,34.9,17.8
十面埋伏,张艺谋,章子怡,2004,119,中国大陆 / 香港,剧情 / 武侠 / 古装,5.7,105312,4.1,15.8,49.5,24.2,6.5
悟空传,郭子健,彭于晏,2017,123,中国大陆,剧情 / 动作 / 奇幻,5.1,136522,3.9,11.1,35.7,33.1,16.2
附注：我爱你,理查德·拉·格拉文斯,希拉里·斯万克,2007,126,美国,剧情 / 爱情,8.1,109458,30.6,45.5,21.7,2.0,0.3
大闹天宫,万籁鸣 / 唐澄,邱岳峰,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆),114,中国大陆,动画 / 奇幻,9.2,106129,69.7,23.4,6.1,0.5,0.2
投名状,陈可辛,李连杰,2007,126,中国大陆 / 香港,剧情 / 动作 / 战争 / 古装,6.9,105949,10.0,35.0,46.6,7.3,1.0
南京！南京！,陆川,刘烨,2009,132,中国大陆 / 香港,剧情 / 历史 / 战争,7.4,112687,19.8,41.6,30.5,5.7,2.4
大内密探灵灵狗,王晶,古天乐,2009,98,香港 / 中国大陆 / 台湾,喜剧,5.0,110652,2.0,9.0,41.3,32.6,15.1
左耳,苏有朋,陈都灵,2015,117,中国大陆,爱情,5.4,125794,5.2,14.2,39.6,26.7,14.3
你丫闭嘴！,法兰西斯·威柏,热拉尔·德帕迪约,2003,85,法国 / 意大利,喜剧 / 犯罪,8.0,111035,27.9,48.1,21.7,1.9,0.3
金刚：骷髅岛,乔丹·沃格特-罗伯茨,汤姆·希德勒斯顿,2017,119,美国 / 中国大陆 / 澳大利亚 / 加拿大,动作 / 奇幻 / 冒险,6.6,132184,6.8,30.4,50.5,10.4,1.8
歌舞青春,肯尼·奥特加,扎克·埃夫隆,2006,98,美国,剧情 / 喜剧 / 家庭,7.7,105276,20.7,45.9,29.7,3.0,0.7
权力的游戏 第二季,阿兰·泰勒 / 埃里克·萨哈罗夫 / 大卫·彼特拉克 / 大卫·努特尔 / 尼尔·马歇尔,麦茜·威廉姆斯,,,美国 / 英国,剧情 / 奇幻 / 冒险,9.4,126718,73.9,22.5,3.3,0.2,0.1
国家宝藏,乔·德特杜巴,尼古拉斯·凯奇,2004,131,美国,动作 / 悬疑 / 惊悚 / 冒险,7.6,104869,15.7,50.5,31.1,2.4,0.3
奇怪的她,黄东赫,沈恩京,2014,124,韩国,喜剧 / 奇幻,8.3,121957,34.8,47.2,16.5,1.2,0.3
欢乐好声音,加斯·詹宁斯 / 克里斯托夫·卢尔德莱,马修·麦康纳,2017,108,美国,喜剧 / 动画 / 歌舞,8.2,131772,30.8,48.0,19.6,1.4,0.2
三生三世十里桃花,赵小丁 / 安东尼·拉默里纳拉,刘亦菲,2017,109,中国大陆,爱情 / 奇幻,3.9,137988,4.3,5.4,18.2,27.3,44.9
武侠,陈可辛,甄子丹,2011,115,香港 / 中国大陆,剧情 / 动作 / 悬疑 / 武侠,6.6,115385,6.1,31.7,49.6,10.6,2.1
僵尸肖恩,埃德加·赖特,西蒙·佩吉,2004,99,英国 / 法国 / 美国,喜剧 / 恐怖,7.6,114512,21.5,45.6,27.8,4.0,1.1
特种部队：眼镜蛇的崛起,斯蒂芬·索莫斯,查宁·塔图姆,2009,118,美国 / 捷克,动作 / 科幻 / 惊悚 / 冒险,7.2,113744,13.2,42.4,37.6,5.7,1.2
黑鹰坠落,雷德利·斯科特,乔什·哈奈特,2001,144,美国,动作 / 历史 / 战争,8.5,110497,41.3,44.1,13.4,1.0,0.2
牯岭街少年杀人事件,杨德昌,张震,1991,237,台湾,剧情 / 犯罪,8.7,108475,52.0,34.9,11.2,1.4,0.4
爱宠大机密,克里斯·雷纳德 / 亚罗·切尼,路易·C·K,2016,87,美国,喜剧 / 动画,7.5,127460,17.7,43.7,34.5,3.6,0.5
革命之路,萨姆·门德斯,莱昂纳多·迪卡普里奥,2008,119,美国 / 英国,剧情 / 爱情,8.0,113172,26.3,50.0,21.9,1.7,0.2
盛夏光年,陈正道,张睿家,2006,105,台湾,剧情 / 爱情 / 同性,7.2,101201,13.6,38.8,41.3,5.4,0.9
言叶之庭,新海诚,入野自由,2013,46,日本,爱情 / 动画,8.2,122132,34.0,42.8,20.5,2.3,0.4
灰姑娘,肯尼思·布拉纳,莉莉·詹姆斯,2015,106,美国 / 英国,爱情 / 奇幻 / 冒险,6.7,122260,9.5,29.6,50.9,8.7,1.3
通天塔,亚利桑德罗·冈萨雷斯·伊纳里图,布拉德·皮特,2007,143,法国 / 美国 / 墨西哥,剧情,8.0,105305,25.6,50.4,21.8,1.8,0.3
爱在午夜降临前,理查德·林克莱特,伊桑·霍克,2013,109,美国,剧情 / 爱情,8.8,116730,52.6,34.9,10.8,1.2,0.4
